state,yr,qtr,index_sa
FL,2010,2,181.27
FL,2010,3,176.89
FL,2010,4,174.84
FL,2011,1,167.42
FL,2011,2,167.16
FL,2011,3,169.72
FL,2011,4,170.55
FL,2012,1,174.37
FL,2012,2,179.55
FL,2012,3,183.64
FL,2012,4,186.93
FL,2013,1,192.56
FL,2013,2,199.06
FL,2013,3,204.72
FL,2013,4,210.53
GA,1991,1,100.00
GA,1991,2,99.82
GA,1991,3,99.87
GA,1991,4,100.75
GA,1992,1,101.81
GA,1992,2,100.88
GA,1992,3,102.85
GA,1992,4,102.92
GA,1993,1,103.51
GA,1993,2,104.33
GA,1993,3,104.94
GA,1993,4,105.74
GA,1994,1,106.69
GA,1994,2,107.86
GA,1994,3,108.97
GA,1994,4,109.94
GA,1995,1,110.78
GA,1995,2,112.08
GA,1995,3,113.44
GA,1995,4,114.84
GA,1996,1,116.27
GA,1996,2,117.38
GA,1996,3,118.47
GA,1996,4,119.06
GA,1997,1,120.95
GA,1997,2,121.92
GA,1997,3,123.35
GA,1997,4,124.97
GA,1998,1,126.82
GA,1998,2,128.80
GA,1998,3,130.89
GA,1998,4,133.04
GA,1999,1,135.64
GA,1999,2,137.75
GA,1999,3,140.57
GA,1999,4,142.65
GA,2000,1,144.83
GA,2000,2,147.54
GA,2000,3,149.31
GA,2000,4,151.68
GA,2001,1,153.75
GA,2001,2,155.90
GA,2001,3,157.37
GA,2001,4,159.05
GA,2002,1,161.48
GA,2002,2,161.89
GA,2002,3,163.93
GA,2002,4,166.34
GA,2003,1,168.09
GA,2003,2,168.68
GA,2003,3,170.31
GA,2003,4,171.06
GA,2004,1,172.79
GA,2004,2,174.60
GA,2004,3,176.77
GA,2004,4,178.84
GA,2005,1,181.48
GA,2005,2,184.30
GA,2005,3,187.21
GA,2005,4,191.35
GA,2006,1,193.43
GA,2006,2,195.18
GA,2006,3,196.12
GA,2006,4,199.68
GA,2007,1,200.44
GA,2007,2,202.09
GA,2007,3,198.81
GA,2007,4,197.57
GA,2008,1,194.12
GA,2008,2,189.95
GA,2008,3,185.53
GA,2008,4,176.94
GA,2009,1,178.86
GA,2009,2,173.13
GA,2009,3,175.33
GA,2009,4,172.09
GA,2010,1,164.97
GA,2010,2,167.37
GA,2010,3,158.39
GA,2010,4,153.26
GA,2011,1,151.88
GA,2011,2,147.35
GA,2011,3,148.28
GA,2011,4,150.26
GA,2012,1,148.81
GA,2012,2,154.18
GA,2012,3,157.20
GA,2012,4,160.52
GA,2013,1,167.23
GA,2013,2,170.89
GA,2013,3,174.50
GA,2013,4,178.76
HI,1991,1,100.00
HI,1991,2,97.78
HI,1991,3,99.58
HI,1991,4,98.37
HI,1992,1,102.69
HI,1992,2,98.06
HI,1992,3,101.91
HI,1992,4,102.15
HI,1993,1,101.53
HI,1993,2,103.23
HI,1993,3,99.14
HI,1993,4,100.20
HI,1994,1,98.73
HI,1994,2,100.14
HI,1994,3,99.66
HI,1994,4,98.49
HI,1995,1,99.33
HI,1995,2,95.11
HI,1995,3,95.55
HI,1995,4,95.30
HI,1996,1,90.32
HI,1996,2,94.01
HI,1996,3,89.92
HI,1996,4,89.49
HI,1997,1,83.17
HI,1997,2,83.15
HI,1997,3,83.56
HI,1997,4,82.11
HI,1998,1,83.90
HI,1998,2,84.99
